,Market,Submarket,Population,Period,Years,CAGR,NOI Cap Rate Comp.,Fixed Interest Rate,Opt. Cash Flow,Mkt Cap Rate Apr. bp,XIRR,Equity Multiple
Abilene - TX USA - Abilene ,Abilene - TX,Abilene ,183065.0,2024-12 to 2029-12,5,0.07039257507312491,0.018058501128130906,0.07039999999999999,-0.052341498871869084,102.0,0.10397130157024015,1.710547635520445
Akron - OH USA - Central/South Akron,Akron - OH,Central/South Akron,698000.0,2024-12 to 2029-12,5,0.05808431102335465,0.06441418458214399,0.07039999999999999,-0.005985815417856005,120.0,0.17080853788709227,2.092618910705424
Akron - OH USA - Copley/Fairlawn,Akron - OH,Copley/Fairlawn,698000.0,2024-12 to 2029-12,5,0.062443314314262865,0.08694708414045571,0.07039999999999999,0.01654708414045572,120.0,0.22337340131613015,2.44313850902948
Akron - OH USA - Cuyahoga Falls,Akron - OH,Cuyahoga Falls,698000.0,2024-12 to 2029-12,5,0.04704694425084677,0.06057068520282619,0.07039999999999999,-0.009829314797173798,120.0,0.14304863400737045,1.875220918818231
Akron - OH USA - East/Tallmadge,Akron - OH,East/Tallmadge,698000.0,2024-12 to 2029-12,5,0.05349571492662686,0.12477283488107091,0.07039999999999999,0.05437283488107092,120.0,0.28819406275976367,2.7758324684995976
Akron - OH USA - Kent,Akron - OH,Kent,698000.0,2024-12 to 2029-12,5,0.05833851023568881,0.07827704731097947,0.07039999999999999,0.007877047310979476,120.0,0.198774373274611,2.2698891962439443
Akron - OH USA - South Summit County,Akron - OH,South Summit County,698000.0,2024-12 to 2029-12,5,0.06425533373813885,0.05362160861033071,0.07039999999999999,-0.01677839138966928,120.0,0.160872430205258,2.0555286494015004
Albany - NY USA - City of Albany,Albany - NY,City of Albany,900119.0,2024-12 to 2029-12,5,0.06430847380265936,0.046437872300175355,0.07039999999999999,-0.023962127699824635,118.0,0.14616430922554535,1.966584179417992
Albany - NY USA - Downtown Albany,Albany - NY,Downtown Albany,900119.0,2024-12 to 2029-12,5,0.06272716275248613,0.04834480274031879,0.07039999999999999,-0.0220551972596812,118.0,0.14749814803786676,1.9651332525594125
Albany - NY USA - Outer Albany County,Albany - NY,Outer Albany County,900119.0,2024-12 to 2029-12,5,0.06414180222312571,0.05690489523406586,0.07039999999999999,-0.01349510476593413,118.0,0.16661428878374784,2.0947495404987424
Albany - NY USA - Outer Rensselaer County,Albany - NY,Outer Rensselaer County,900119.0,2024-12 to 2029-12,5,0.07469255335215075,0.05115111959449135,0.07039999999999999,-0.019248880405508643,118.0,0.1746579782898503,2.1953329262933634
Albany - NY USA - Outer Saratoga County,Albany - NY,Outer Saratoga County,900119.0,2024-12 to 2029-12,5,0.07079914367784279,0.05801586561076485,0.07039999999999999,-0.012384134389235142,118.0,0.18066013439599926,2.2166911495510897
Albany - NY USA - Outer Schenectady County,Albany - NY,Outer Schenectady County,900119.0,2024-12 to 2029-12,5,0.061900343971769134,0.047223806248053175,0.07039999999999999,-0.023176193751946815,118.0,0.1435047789731485,1.9379584991696477
Albany - NY USA - Rensselaer,Albany - NY,Rensselaer,900119.0,2024-12 to 2029-12,5,0.0759343148661038,0.06751307511644203,0.07039999999999999,-0.002886924883557962,118.0,0.20768172080157576,2.420610747748582
Albany - NY USA - Saratoga Springs,Albany - NY,Saratoga Springs,900119.0,2024-12 to 2029-12,5,0.06439079303100592,0.05003411867699362,0.07039999999999999,-0.020365881323006367,118.0,0.1536879342670201,2.0128577900181464
Albany - NY USA - Schenectady,Albany - NY,Schenectady,900119.0,2024-12 to 2029-12,5,0.0641370035591835,0.03318480495324391,0.07039999999999999,-0.03721519504675608,118.0,0.12034718800060218,1.7981714946146439
Albany - NY USA - Troy,Albany - NY,Troy,900119.0,2024-12 to 2029-12,5,0.06411151130925208,0.02753772061329385,0.07039999999999999,-0.04286227938670614,118.0,0.10949304037566798,1.7271743505337511
Albany - OR USA - Linn County,Albany - OR,Linn County,131582.0,2024-12 to 2029-12,5,0.06764147105033569,0.058767943837148395,0.07039999999999999,-0.011632056162851595,86.0,0.1764019440997353,2.174504232806845
Albuquerque - NM USA - Cottonwood,Albuquerque - NM,Cottonwood,925721.0,2024-12 to 2029-12,5,0.07396965081041396,0.03425863719706387,0.07039999999999999,-0.036141362802936124,102.0,0.13960718398289007,1.9721392256351458
Albuquerque - NM USA - Downtown Albuquerque,Albuquerque - NM,Downtown Albuquerque,925721.0,2024-12 to 2029-12,5,0.0671588756547159,0.04100463708136133,0.07039999999999999,-0.02939536291863866,102.0,0.14128150116288096,1.9446321673229028
Albuquerque - NM USA - East Albuquerque,Albuquerque - NM,East Albuquerque,925721.0,2024-12 to 2029-12,5,0.06836874788490888,0.053836420993842886,0.07039999999999999,-0.016563579006157104,102.0,0.1681710645890644,2.1246879759570723
Albuquerque - NM USA - Far West Side,Albuquerque - NM,Far West Side,925721.0,2024-12 to 2029-12,5,0.07359743252199391,0.04426736078479318,0.07039999999999999,-0.02613263921520681,102.0,0.1593939075438382,2.091062771793739
Albuquerque - NM USA - North Valley,Albuquerque - NM,North Valley,925721.0,2024-12 to 2029-12,5,0.0719459861556686,0.049544477596464236,0.07039999999999999,-0.020855522403535755,102.0,0.16551591809238908,2.1296863706498774
Albuquerque - NM USA - Northeast Heights,Albuquerque - NM,Northeast Heights,925721.0,2024-12 to 2029-12,5,0.07291519782659162,0.06422023171366219,0.07039999999999999,-0.006179768286337803,102.0,0.19592830252536375,2.3291585762105855
Albuquerque - NM USA - Outer Sandoval County,Albuquerque - NM,Outer Sandoval County,925721.0,2024-12 to 2029-12,5,0.0695642351556427,0.05179437694644451,0.07039999999999999,-0.01860562305355548,102.0,0.16654266694838782,2.11867486658756
Albuquerque - NM USA - Rio Rancho,Albuquerque - NM,Rio Rancho,925721.0,2024-12 to 2029-12,5,0.06477448378371498,0.04916741735435726,0.07039999999999999,-0.021232582645642734,102.0,0.15274752907761235,2.0081844231805874
Albuquerque - NM USA - West Side,Albuquerque - NM,West Side,925721.0,2024-12 to 2029-12,5,0.0719486058856531,0.04826774965939747,0.07039999999999999,-0.022132250340602518,102.0,0.16402579359705038,2.113770508906808
Anchorage - AK USA - Downtown Anchorage,Anchorage - AK,Downtown Anchorage,402909.0,2024-12 to 2029-12,5,0.06476537112701886,0.08431682583956797,0.07039999999999999,0.013916825839567978,86.0,0.2219284450934289,2.4474056167548084
Ann Arbor - MI USA - Greater Ann Arbor,Ann Arbor - MI,Greater Ann Arbor,370725.0,2024-12 to 2029-12,5,0.07129240903142242,0.07353602372923738,0.07039999999999999,0.0031360237292373944,120.0,0.21185158043464747,2.418806898091649
Ann Arbor - MI USA - University Of Michigan,Ann Arbor - MI,University Of Michigan,370725.0,2024-12 to 2029-12,5,0.06776608285773578,0.06536824807172702,0.07039999999999999,-0.005031751928272973,120.0,0.18993599756703006,2.2590323238631673
Ann Arbor - MI USA - Ypsilanti,Ann Arbor - MI,Ypsilanti,370725.0,2024-12 to 2029-12,5,0.06700840077678594,0.07762963570669423,0.07039999999999999,0.007229635706694243,120.0,0.21312346943839966,2.400005896893994
Appleton - WI USA - Appleton,Appleton - WI,Appleton,249074.0,2024-12 to 2029-12,5,0.06214674986906421,0.08944537583176168,0.07039999999999999,0.01904537583176169,120.0,0.22869400977828902,2.4696464191636185
Appleton - WI USA - Calumet County,Appleton - WI,Calumet County,249074.0,2024-12 to 2029-12,5,0.06294907254412374,0.0704246026892972,0.07039999999999999,2.4602689297215097e-05,120.0,0.19146197288271072,2.244670358343541
Appleton - WI USA - Outlying Outagamie County,Appleton - WI,Outlying Outagamie County,249074.0,2024-12 to 2029-12,5,0.060191323736656255,0.07552336552353604,0.07039999999999999,0.005123365523536053,120.0,0.19689999156561955,2.2646263757805487
Asheville - NC USA - Central Asheville,Asheville - NC,Central Asheville,486408.0,2024-12 to 2029-12,5,0.07225407472791323,0.04544713629595899,0.07039999999999999,-0.024952863704040998,92.0,0.1588529869171813,2.083557367173804
Asheville - NC USA - Henderson County,Asheville - NC,Henderson County,486408.0,2024-12 to 2029-12,5,0.06934498641500131,0.05591524324084171,0.07039999999999999,-0.01448475675915828,92.0,0.17394602014038552,2.1666006341946984
Asheville - NC USA - North/West Buncombe County,Asheville - NC,North/West Buncombe County,486408.0,2024-12 to 2029-12,5,0.07494106612196694,0.03963641996948688,0.07039999999999999,-0.03076358003051311,92.0,0.1531859943395879,2.055544868217927
Athens - GA USA - Downtown Athens ,Athens - GA,Downtown Athens ,223340.0,2024-12 to 2029-12,5,0.0689661649673392,0.04028357231340314,0.07039999999999999,-0.03011642768659685,92.0,0.14333093452357337,1.9650173472124643
