,date,geography_name,market,population,submarket,cap_rate,price,equity,debt,mo_rent,occupancy,revenue,debt_service,pay_off,valuation,cashflow,irr
0,2024-12-31,Abilene - TX USA - Abilene ,Abilene - TX,183065.0,Abilene ,0.0675999969244003,427986.5198,171194.60792,256791.91188,1112.17077636719,0.995004653930664,0.0,0.0,0.0,0.0,-171194.60792,
1,2025-12-31,Abilene - TX USA - Abilene ,Abilene - TX,183065.0,Abilene ,0.068000003695488,445734.6816,0.0,0.0,1159.99291992188,0.989096820354462,7434.7976005601595,18078.150596351996,0.0,0.0,-10643.352995791836,
2,2026-12-31,Abilene - TX USA - Abilene ,Abilene - TX,183065.0,Abilene ,0.0653000026941299,484044.172,0.0,0.0,1203.71533203125,0.973986387252808,7597.167211968036,18078.150596351996,0.0,0.0,-10480.983384383959,
3,2027-12-31,Abilene - TX USA - Abilene ,Abilene - TX,183065.0,Abilene ,0.0621999986469746,525485.0806,0.0,0.0,1240.08544921875,0.961551308631897,7726.789496595576,18078.150596351996,0.0,0.0,-10351.361099756421,
4,2028-12-31,Abilene - TX USA - Abilene ,Abilene - TX,183065.0,Abilene ,0.0590000003576279,569083.9782,0.0,0.0,1272.11743164063,0.954175055027008,7865.571227780612,18078.150596351996,0.0,0.0,-10212.579368571383,
5,2029-12-31,Abilene - TX USA - Abilene ,Abilene - TX,183065.0,Abilene ,0.0573999993503094,601375.2214,0.0,0.0,1304.38439941406,0.948800265789032,8019.649716261224,18078.150596351996,256791.91188,601375.2214,334524.80863990926,0.10397130157024015
0,2024-12-31,Akron - OH USA - Central/South Akron,Akron - OH,698000.0,Central/South Akron,0.0754999965429306,120809.8478,48323.93912,72485.90868,1282.67395019531,0.886207580566406,0.0,0.0,0.0,0.0,-48323.93912,
1,2025-12-31,Akron - OH USA - Central/South Akron,Akron - OH,698000.0,Central/South Akron,0.0760999992489815,124248.6054,0.0,0.0,1325.19567871094,0.880316317081451,7559.512137832044,5103.007971071999,0.0,0.0,2456.5041667600444,
2,2026-12-31,Akron - OH USA - Central/South Akron,Akron - OH,698000.0,Central/South Akron,0.0729999989271164,133207.1675,0.0,0.0,1357.56518554688,0.872829794883728,7678.303259025285,5103.007971071999,0.0,0.0,2575.295287953286,
3,2027-12-31,Akron - OH USA - Central/South Akron,Akron - OH,698000.0,Central/South Akron,0.069300003349781,143081.2518,0.0,0.0,1380.77172851563,0.870642244815826,7789.985118459134,5103.007971071999,0.0,0.0,2686.977147387135,
4,2028-12-31,Akron - OH USA - Central/South Akron,Akron - OH,698000.0,Central/South Akron,0.0654999986290932,153467.1575,0.0,0.0,1398.46740722656,0.871331691741943,7896.067737164774,5103.007971071999,0.0,0.0,2793.059766092775,
5,2029-12-31,Akron - OH USA - Central/South Akron,Akron - OH,698000.0,Central/South Akron,0.0635000020265579,160215.1982,0.0,0.0,1414.54345703125,0.871182680130005,7985.470925168369,5103.007971071999,72485.90868,160215.1982,90611.75247409639,0.17080853788709227
0,2024-12-31,Akron - OH USA - Copley/Fairlawn,Akron - OH,698000.0,Copley/Fairlawn,0.079500786960125,159153.3414,63661.33656,95492.00484000001,1984.66931152344,0.988433837890625,0.0,0.0,0.0,0.0,-63661.33656,
1,2025-12-31,Akron - OH USA - Copley/Fairlawn,Akron - OH,698000.0,Copley/Fairlawn,0.0801007896661758,164675.4702,0.0,0.0,2062.17333984375,0.98602283000946,13176.107951547709,6722.637140735999,0.0,0.0,6453.470810811709,
2,2026-12-31,Akron - OH USA - Copley/Fairlawn,Akron - OH,698000.0,Copley/Fairlawn,0.0770007893443108,177255.4844,0.0,0.0,2124.96069335938,0.986045658588409,13577.597566000048,6722.637140735999,0.0,0.0,6854.960425264048,
3,2027-12-31,Akron - OH USA - Copley/Fairlawn,Akron - OH,698000.0,Copley/Fairlawn,0.0733007863163948,191003.0279,0.0,0.0,2173.50390625,0.986199200153351,13889.930633903095,6722.637140735999,0.0,0.0,7167.293493167096,
4,2028-12-31,Akron - OH USA - Copley/Fairlawn,Akron - OH,698000.0,Copley/Fairlawn,0.0695007890462875,205475.3499,0.0,0.0,2214.03149414063,0.986212611198425,14149.117461605636,6722.637140735999,0.0,0.0,7426.480320869637,
5,2029-12-31,Akron - OH USA - Copley/Fairlawn,Akron - OH,698000.0,Copley/Fairlawn,0.0675007849931717,215449.0586,0.0,0.0,2252.8740234375,0.986177980899811,14396.841216645875,6722.637140735999,95492.00484000001,215449.0586,127631.25783590986,0.22337340131613015
0,2024-12-31,Akron - OH USA - Cuyahoga Falls,Akron - OH,698000.0,Cuyahoga Falls,0.078653946518898,111457.726,44583.0904,66874.6356,2009.05358886719,0.515959918498993,0.0,0.0,0.0,0.0,-44583.0904,
1,2025-12-31,Akron - OH USA - Cuyahoga Falls,Akron - OH,698000.0,Cuyahoga Falls,0.0792539417743683,113589.4378,0.0,0.0,2047.19873046875,0.508862435817719,6750.4916111784705,4707.974346239999,0.0,0.0,2042.5172649384713,
2,2026-12-31,Akron - OH USA - Cuyahoga Falls,Akron - OH,698000.0,Cuyahoga Falls,0.0761539414525032,120456.0604,0.0,0.0,2069.49853515625,0.505818784236908,6783.207190052521,4707.974346239999,0.0,0.0,2075.2328438125214,
3,2027-12-31,Akron - OH USA - Cuyahoga Falls,Akron - OH,698000.0,Cuyahoga Falls,0.0724539458751678,127920.419,0.0,0.0,2077.59619140625,0.502723038196564,6768.071442291055,4707.974346239999,0.0,0.0,2060.097096051056,
4,2028-12-31,Akron - OH USA - Cuyahoga Falls,Akron - OH,698000.0,Cuyahoga Falls,0.06865394115448,135647.932,0.0,0.0,2077.76977539063,0.501222848892212,6748.4384463389815,4707.974346239999,0.0,0.0,2040.4641000989823,
5,2029-12-31,Akron - OH USA - Cuyahoga Falls,Akron - OH,698000.0,Cuyahoga Falls,0.0666539445519447,140262.2969,0.0,0.0,2076.48583984375,0.498315304517746,6705.145484983248,4707.974346239999,66874.6356,140262.2969,75384.83243874324,0.14304863400737045
0,2024-12-31,Akron - OH USA - East/Tallmadge,Akron - OH,698000.0,East/Tallmadge,0.0908999964594841,74169.3007,29667.720280000005,44501.58042,1456.90478515625,0.920280933380127,0.0,0.0,0.0,0.0,-29667.720280000005,
1,2025-12-31,Akron - OH USA - East/Tallmadge,Akron - OH,698000.0,East/Tallmadge,0.091499999165535,76527.7707,0.0,0.0,1508.19995117188,0.915654301643372,8948.813729226984,3132.9112615679996,0.0,0.0,5815.902467658984,
2,2026-12-31,Akron - OH USA - East/Tallmadge,Akron - OH,698000.0,East/Tallmadge,0.0883999988436699,81627.0001,0.0,0.0,1548.32385253906,0.910514950752258,9135.322665903603,3132.9112615679996,0.0,0.0,6002.411404335603,
3,2027-12-31,Akron - OH USA - East/Tallmadge,Akron - OH,698000.0,East/Tallmadge,0.0847000032663345,87035.8255,0.0,0.0,1578.00952148438,0.907674312591553,9281.425225742165,3132.9112615679996,0.0,0.0,6148.513964174165,
4,2028-12-31,Akron - OH USA - East/Tallmadge,Akron - OH,698000.0,East/Tallmadge,0.0808999985456467,92561.1129,0.0,0.0,1601.53332519531,0.905933022499084,9401.714880008229,3132.9112615679996,0.0,0.0,6268.803618440229,
5,2029-12-31,Akron - OH USA - East/Tallmadge,Akron - OH,698000.0,East/Tallmadge,0.0789000019431114,96247.1884,0.0,0.0,1623.37145996094,0.903497397899628,9504.293046547007,3132.9112615679996,44501.58042,96247.1884,58116.98976497901,0.28819406275976367
