,Market,Submarket,Population,Start,Price,LTV,Loan,Equity,SOFR,Spread,Net_Rate
Abilene - TX USA - Abilene ,Abilene - TX,Abilene ,183065.0,2024-12-31,427986.5198,0.6,256791.91188,171194.60792,0.0404,0.03,0.07039999999999999
Akron - OH USA - Central/South Akron,Akron - OH,Central/South Akron,698000.0,2024-12-31,120809.8478,0.6,72485.90868,48323.93912,0.0404,0.03,0.07039999999999999
Akron - OH USA - Copley/Fairlawn,Akron - OH,Copley/Fairlawn,698000.0,2024-12-31,159153.3414,0.6,95492.00484000001,63661.33656,0.0404,0.03,0.07039999999999999
Akron - OH USA - Cuyahoga Falls,Akron - OH,Cuyahoga Falls,698000.0,2024-12-31,111457.726,0.6,66874.6356,44583.0904,0.0404,0.03,0.07039999999999999
Akron - OH USA - East/Tallmadge,Akron - OH,East/Tallmadge,698000.0,2024-12-31,74169.3007,0.6,44501.58042,29667.720280000005,0.0404,0.03,0.07039999999999999
Akron - OH USA - Kent,Akron - OH,Kent,698000.0,2024-12-31,111538.8425,0.6,66923.30549999999,44615.537000000004,0.0404,0.03,0.07039999999999999
Akron - OH USA - South Summit County,Akron - OH,South Summit County,698000.0,2024-12-31,157816.4949,0.6,94689.89693999999,63126.59796,0.0404,0.03,0.07039999999999999
Albany - NY USA - City of Albany,Albany - NY,City of Albany,900119.0,2024-12-31,281206.958,0.6,168724.17479999998,112482.7832,0.0404,0.03,0.07039999999999999
Albany - NY USA - Downtown Albany,Albany - NY,Downtown Albany,900119.0,2024-12-31,227887.8455,0.6,136732.7073,91155.1382,0.0404,0.03,0.07039999999999999
Albany - NY USA - Outer Albany County,Albany - NY,Outer Albany County,900119.0,2024-12-31,246899.4883,0.6,148139.69298,98759.79532,0.0404,0.03,0.07039999999999999
Albany - NY USA - Outer Rensselaer County,Albany - NY,Outer Rensselaer County,900119.0,2024-12-31,197339.9754,0.6,118403.98524,78935.99016,0.0404,0.03,0.07039999999999999
Albany - NY USA - Outer Saratoga County,Albany - NY,Outer Saratoga County,900119.0,2024-12-31,200427.6299,0.6,120256.57793999999,80171.05196000001,0.0404,0.03,0.07039999999999999
Albany - NY USA - Outer Schenectady County,Albany - NY,Outer Schenectady County,900119.0,2024-12-31,208025.7673,0.6,124815.46038,83210.30692,0.0404,0.03,0.07039999999999999
